# offset offset_z sigma_0 sigma_z logc Blambda corr_len A_0 A_1 A_2 A_3 A_4 A_5 A_6 A_7 A_8 A_9 A_10 A_inf
1.181790549295237691e-01 -1.819289469625783306e-01 1.708019035889780657e-01 1.780905644163424117e-01 -1.157789524898773514e-01 5.586409007510040325e-01 7.842752879684233847e-02 -6.499975252448271235e-01 -6.194188156678395174e-01 1.527854646083417478e-01 9.410193179627412974e-02 -1.214171339144438644e+00 -6.815600931892431547e-01 1.928065822134341190e+00 -9.681414868003637153e-01 -6.890575076633798091e-01 2.027884879981666444e+00 8.832770610943851963e-01 -2.252116285184786904e+00
1.235625118123450938e-01 -1.941220840948285620e-01 1.848725008845133189e-01 1.507780226429338288e-01 -1.034107171670979319e-01 5.300270927145387390e-01 8.578144404142842849e-02 -4.438916340159480001e-01 9.722724398550042224e-02 -2.200697132063922368e-01 1.584259555641443384e+00 -2.075942267634576677e+00 7.597326701617017619e-01 1.186826803327992508e+00 6.523255990963932049e-01 -1.680831342143497054e+00 2.829966659650718697e+00 1.386422564572649563e+00 -2.987959235123508694e+00
1.152316803582565941e-01 -1.561133901594426998e-01 1.803127097199093420e-01 1.456596268112123616e-01 -1.552833911719695426e-01 6.100830113808415334e-01 8.560344421846102780e-02 1.591658391885104606e-01 -8.747029931649832335e-01 9.880075337104692323e-01 9.012663435993220062e-01 -1.731274380195477303e+00 2.598073474828197504e-01 2.100174369165442201e+00 -6.454072667357149129e-01 5.477703979983505889e-01 1.236382203114551714e+00 2.694666468500852119e+00 -3.317025811556508330e+00
1.234236736674948764e-01 -1.907918008963096490e-01 1.827378552966326675e-01 1.390774552851512524e-01 -1.169002330507715737e-01 4.831319099129429695e-01 8.625803295129333415e-02 4.008955820190287511e-01 -1.593141805993319338e+00 1.088684708786090916e+00 8.170979815403356383e-02 -1.793717950538206818e+00 3.197020891062063441e-01 8.314906653566014327e-01 2.547913572839011209e-01 -1.270023628495426937e+00 1.354063475332535127e+00 3.034731581321787885e+00 -2.237836784787089695e+00
1.123251334818954339e-01 -1.806422327671648453e-01 1.811503508056038769e-01 1.774082153061022904e-01 -5.755411852657321692e-02 6.003097808236574906e-01 8.736984425977241397e-02 3.315092084844124543e-01 -3.952350102894826023e-01 7.382428735943360465e-01 1.245494226436506757e+00 -1.193206450403899943e+00 9.858960806074090755e-02 2.228306258752036584e+00 8.911905768634653668e-03 -3.984963427625416443e-01 1.386042627417367612e+00 3.833767752926018346e+00 -3.675729400983217765e+00
1.131257070975571488e-01 -1.621213857884109544e-01 1.780763398464938196e-01 1.639597500490916904e-01 -5.351961137170302418e-02 5.822476160631402387e-01 8.653824415844198203e-02 2.531357473045936501e-01 -9.831268469769440799e-01 2.036448999162923101e-01 1.808210251638825206e+00 -2.929351541173351947e+00 6.776263738072163534e-01 1.668891110877473771e+00 -9.221404457031967539e-01 3.210636946684930493e-01 1.245187191738482468e+00 1.453699967180320130e+00 -2.790364371661055998e+00
1.119601969551427267e-01 -1.730725972723822781e-01 1.679942148231755028e-01 1.706097907675256931e-01 -9.020216805342573529e-02 5.609637597163250611e-01 9.110006985454646711e-02 -8.490892235743370264e-01 -5.519918677485193825e-01 9.134878707023341704e-01 6.374788439214951197e-01 -1.658637325781354477e+00 2.085447829196196423e-01 1.921992419670606189e+00 -3.176929797909986419e-01 -1.230317596786449030e+00 1.853189393309618183e+00 3.690684774389859868e+00 -2.975375357286033751e+00
1.133946385310362626e-01 -1.795868696105393791e-01 1.838358123172820213e-01 1.559242483954346170e-01 -1.088103191749050236e-01 5.346762937848250630e-01 9.018775260302701324e-02 -7.181229080415167942e-01 -1.091479574858857049e+00 8.277066820662870583e-01 2.818296504686035320e-01 -1.500266034512882207e+00 -8.843457835403123468e-01 2.271170131098760869e+00 -8.307840087995996825e-01 -6.768562275012079965e-01 1.472094161558260339e+00 2.027904481225957234e+00 -2.334046602486888666e+00
1.157810331388599567e-01 -1.760455923969508341e-01 1.793923478994807474e-01 1.703708503000969099e-01 -1.506806964063995835e-01 5.428176260034445200e-01 8.575439648956831307e-02 -2.074839103736501045e-01 4.521058059763216619e-01 1.229783102973778242e+00 9.544029420202724268e-01 -4.304072755068144573e-01 2.214113362893908032e-01 2.234763810370383297e+00 9.017602895457708101e-01 5.166915790541359854e-02 2.026445134664824899e+00 3.141755221379336049e+00 -4.538647521317410671e+00
1.190251216027966574e-01 -1.740438892744572974e-01 1.795106174524853937e-01 1.494200869571864487e-01 -1.641564187118977891e-01 5.462260362042328232e-01 7.992457116111728599e-02 1.653381842025996029e+00 -6.800331558242564967e-01 1.812572392492178608e+00 1.513654447626779032e+00 -9.333433743936705440e-01 9.513055820604430224e-01 2.667403942115775806e+00 5.832544389080362990e-01 -2.714476406950874221e-01 4.506221785287237935e+00 1.887076461125368532e+00 -4.961748701983617060e+00
